contract_id,notice_id,institution,buyer_name,file_number,publication_date,publication_year,record_type,contract_nature,object,procedure,region,cpv_subjects,cpv_codes_raw,cpv_code_list,is_cpv_71,estimated_value_raw,estimated_value_eur,awarded_value_raw,awarded_value_eur,supplier_name,source_url,source_file,source_line,raw_field_count,repaired_columns,parser_warning
BOE-B-2014-14766,BOE-B-2014-14766,MINISTERIO DE FOMENTO,Dirección General de Carreteras,"30.88/13-2;"" AC-551/13.",2014-04-25,2014,Contratación,Servicios,"Realización de inspecciones principales y actualización de inventarios de obras de paso existentes dentro del sistema de gestión de la Red de Carreteras del Estado. 9.º itinerario-zona norte. Coeficiente de mayoración de la puntuación económica: 1,5.",Abierto,Sin definir,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71300000 (Servicios de ingeniería).,"['71000000', '71300000']",True,"2.712.915,59 euros",2712915.59,"1.685.263,17 euros",1685263.17,"Ideam, S.A. e Inés Ingenieros Consultores, S.L. (UTE).",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-14766,boe_sample.csv,98,15,False,
BOE-B-2014-14767,BOE-B-2014-14767,MINISTERIO DE FOMENTO,Dirección General de Carreteras,"30.91/13-2;"" AC-554/13.",2014-04-25,2014,Contratación,Servicios,"Realización de inspecciones especiales, proyectos e informes en obras de paso de la Red de Carreteras del Estado. 10.º itinerario zona norte. Coeficiente de mayoración de la puntuación económica: 1,5.",Abierto,Sin definir,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71300000 (Servicios de ingeniería).,"['71000000', '71300000']",True,"1.440.481,82 euros",1440481.82,"975.206,61 euros",975206.61,"INES INGENIEROS CONSULTORES, S.L. e IDEAM, S.A. (UTE).",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-14767,boe_sample.csv,99,15,False,
BOE-B-2014-14907,BOE-B-2014-14907,MINISTERIO DE FOMENTO,Dirección General de Carreteras,"30.57/13-2;"" AC-523/13.",2014-04-26,2014,Contratación,Servicios,"Responsable de seguridad en fase de explotación para los túneles existentes en la Red de Carreteras del Estado en Galicia. Coeficiente de mayoración de la puntuación económica: 1,5.",Abierto,Galicia,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71300000 (Servicios de ingeniería).,"['71000000', '71300000']",True,"423.500,00 euros",423500.0,"285.227,25 euros",285227.25,"ICEACSA, CONSULTORES, S.L.U. Y PROYFE, S.L. (UTE).",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-14907,boe_sample.csv,100,15,False,
BOE-B-2014-14908,BOE-B-2014-14908,MINISTERIO DE FOMENTO,Dirección General de Carreteras,"30.53/13-2;"" AC-519/13.",2014-04-26,2014,Contratación,Servicios,"Responsable de seguridad en fase de explotación para túnel de Somport. Provincia de Huesca. Coeficiente de mayoración de la puntuación económica: 1,5.",Abierto,Aragón,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71300000 (Servicios de ingeniería).,"['71000000', '71300000']",True,"193.522,56 euros",193522.56,"133.530,57 euros",133530.57,"PROINTEC, S.A.",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-14908,boe_sample.csv,101,15,False,
BOE-B-2014-14909,BOE-B-2014-14909,MINISTERIO DE FOMENTO,Dirección General de Carreteras,"30.79/13-2;"" A1G-531/12.",2014-04-26,2014,Contratación,Servicios,"Inspecciones de los contratos de concesión de obras públicas para conservación y explotación de la Autovía de primera generación: A-2 pk. 232,8 al 340. Tramo: Calatayud-Alfajarín. Provincia de Zaragoza. Coeficiente de mayoración de la puntuación económica: 1,5.",Abierto,Aragón,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71300000 (Servicios de ingeniería).,"['71000000', '71300000']",True,"961.404,14 euros",961404.14,"644.333,06 euros",644333.06,"LCA, S.L.",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-14909,boe_sample.csv,102,15,False,
BOE-B-2014-14910,BOE-B-2014-14910,MINISTERIO DE FOMENTO,Dirección General de Carreteras,"30.72/13-2;"" AC-527/13.",2014-04-26,2014,Contratación,Servicios,"Coordinación en materia de seguridad y salud, en las actuaciones de conservación y explotación en la Red de Carreteras del Estado en Asturias. Coeficiente de mayoración de la puntuación económica: 1,5.",Abierto,Principado de Asturias,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71300000 (Servicios de ingeniería).,"['71000000', '71300000']",True,"391.883,18 euros",391883.18,"254.724,07 euros",254724.07,"Lca, S.L.",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-14910,boe_sample.csv,103,15,False,
BOE-B-2014-14911,BOE-B-2014-14911,MINISTERIO DE FOMENTO,Dirección General de Carreteras,"30.85/13-2;"" A1G-537/12.",2014-04-26,2014,Contratación,Servicios,"Inspecciones de los contratos de concesión de obras públicas para la conservación y explotación de la Autovía de primera generación: Autovía A-4, del Sur, de los pp.kk. 3,780 al 67,500. Tramo: Madrid-Ocaña. Provincia de Madrid. Coeficiente de mayoración de la puntuación económica: 1,5.",Abierto,Comunidad de Madrid,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71300000 (Servicios de ingeniería).,"['71000000', '71300000']",True,"963.915,43 euros",963915.43,"650.450,13 euros",650450.13,"Lca, S.L.",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-14911,boe_sample.csv,104,15,False,
BOE-B-2014-14912,BOE-B-2014-14912,MINISTERIO DE FOMENTO,Dirección General de Carreteras.,"30.27/14-6;"" SS-BA-002.",2014-04-26,2014,Licitación,Servicios,"Asesoramiento y coordinación en materia de seguridad y salud relativo a las obras de construcción en la Demarcación de Carreteras del Estado en Extremadura. Provincia de Badajoz. Ponderación técnica: 0,30. Ponderación económica: 0,70.",Abierto,Extremadura,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71311210 (Servicios de consultoría en materia de carreteras).,"['71000000', '71311210']",True,"269.992,33 euros",269992.33,No disponible,,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-14912,boe_sample.csv,105,15,False,
BOE-B-2014-14913,BOE-B-2014-14913,MINISTERIO DE FOMENTO,Dirección General de Carreteras.,"30.20/14-6;"" 12-J-3910.",2014-04-26,2014,Licitación,Servicios,"Control y vigilancia de las obras: Autovía A-32: Linares-Albacete. Corredor CN-322 de Córdoba a Valencia. Tramo: Úbeda-Torreperogil. Provincia de Jaén. Ponderación técnica: 0,30. Ponderación económica: 0,70.",Abierto,Andalucía,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71311210 (Servicios de consultoría en materia de carreteras).,"['71000000', '71311210']",True,"452.462,74 euros",452462.74,No disponible,,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-14913,boe_sample.csv,106,15,False,
BOE-B-2014-14914,BOE-B-2014-14914,MINISTERIO DE FOMENTO,Dirección General de Carreteras.,"30.35/14-6;"" 12-GI-3670.",2014-04-26,2014,Licitación,Servicios,"Control y vigilancia de las obras: Aumento de capacidad de la carretera N-II. Tramo: Medinyá (Vilademuls)-Orriols. Provincia de Girona. Ponderación técnica: 0,30. Ponderación económica: 0,70.",Abierto,Cataluña,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71311100 (Servicios de asistencia en ingeniería civil).,"['71000000', '71311100']",True,"604.758,00 euros",604758.0,No disponible,,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-14914,boe_sample.csv,107,15,False,
