contract_key_canon,source,source_record_id,source_dataset,buyer_name,buyer_id,supplier_name,supplier_id,contract_title,procedure,publication_date,award_date,estimated_value_eur,awarded_value_eur,cpv_codes_raw,cpv_code_list,source_file
03000514017PRESIDENCIADELACONFEDERACIONHIDROGRAFICADELSEGURA20140313,boe,BOE-B-2014-9092,boe_2014_2024,Presidencia de la Confederación Hidrográfica del Segura.,"MINISTERIO DE AGRICULTURA, ALIMENTACIÓN Y MEDIO AMBIENTE",No disponible,,Servicios de Trabajos técnicos preparatorios necesarios para la regularización de superficies regables no inscritas en la cuenca del Segura.,Abierto,2014-03-13 00:00:00,,473307.62,,71310000 (Servicios de consultoría en ingeniería y construcción).,['71000000' '71310000'],boe_sample.csv
30126/13251L0105DIRECCIONGENERALDECARRETERAS20140315,boe,BOE-B-2014-9294,boe_2014_2024,Dirección General de Carreteras.,MINISTERIO DE FOMENTO,No disponible,,"Ejecución de diversas operaciones de conservación y explotación en las carreteras. N-141, convencional, de Bossost a la frontera francesa (puerto de Portillón), pk. 0,000 al 8,350 y N-230, convencional, de límite de provincia de Huesca a la frontera francesa, pk. 117,363 al 187,090. Provincia de Lleida. Ponderación técnica: 30. Ponderación económica: 70.",Abierto,2014-03-15 00:00:00,,17785644.8,,71300000 (Servicios de ingeniería).,['71000000' '71300000'],boe_sample.csv
30132/13251AB0304DIRECCIONGENERALDECARRETERAS20140315,boe,BOE-B-2014-9295,boe_2014_2024,Dirección General de Carreteras.,MINISTERIO DE FOMENTO,No disponible,,"Ejecución de diversas operaciones de conservación y explotación en las carreteras: CN-322 Límite Provincia Jaén-Inicio circunvalación oeste de Albacete, pk. 248,210 al pk. 347,200; CN-322 Inicio C.O. Albacete-Carretera Pinares del Júcar (AB-104) pk. 347, 200 al pk. 361, 700; CN-322 Carretera de Pinares del Júcar (AB-104)-Límite Provincia Valencia pk. 361, 700 al 425, 300; CN-322a Travesía Fuentealbilla pk. 397, 000(a) al pk. 403, 700(a); CN-322(a) Travesía Casas Ibañez pk. 403, 700(a) al pk. 409, 000(a);"" CN-322 Travesía Villatoya pk. 423, 720(a) al pk. 425, 300(a). Provincia de Albacete. Ponderación técnica: 30. Ponderación económica: 70.",Abierto,2014-03-15 00:00:00,,9362223.12,,71300000 (Servicios de ingeniería).,['71000000' '71300000'],boe_sample.csv
3014/13251TO0106DIRECCIONGENERALDECARRETERAS20140317,boe,BOE-B-2014-9510,boe_2014_2024,Dirección General de Carreteras,MINISTERIO DE FOMENTO,"Alvac, S.A.",,"Ejecución de diversas operaciones de conservación y explotación en la A-4 de pk. 67,500 al 138,000; N-IVa Travesía de La Guardia del pk. 81, 810 al 83, 810; A-40 del pk. 179, 900 al 220, 400 (L.P. Cuenca); N-301 de pk. 63, 000 al 134, 400 (L.P. Cuenca);"" N-400 del pk. 0, 000 al 37, 700 y N-400 de pk. 51, 400 a 88, 400 (L.P. Cuenca). Provincia de Toledo. Coeficiente de mayoración de la puntuación económica: 2.",Abierto,2014-03-17 00:00:00,,13065555.1,7830187.09,71300000 (Servicios de ingeniería).,['50200000' '71000000' '71300000'],boe_sample.csv
035/14DIRECCIONDELINSTITUTOESPANOLDEOCEANOGRAFIA20140317,boe,BOE-B-2014-9517,boe_2014_2024,Dirección del Instituto Español de Oceanografía.,MINISTERIO DE ECONOMÍA Y COMPETITIVIDAD,"EULEN, S.A.",,Servicio de asistencia técnica de operación y el mantenimiento permanente de las plantas de cultivo del Centro Oceanográfico de Santander.,Abierto,2014-03-17 00:00:00,,422256.19,211252.75,"50500000 (Servicios de reparación y mantenimiento de bombas, válvulas, grifos, contenedores metálicos y maquinaria).",['50500000' '71000000'],boe_sample.csv
182/13PRESIDENCIADELCONSEJODEADMINISTRACIONDELAAUTORIDADPORTUARIADEBARCELONAPORTDEBARCELONA20140320,boe,BOE-B-2014-10075,boe_2014_2024,Presidencia del Consejo de Administración de la Autoridad Portuaria de Barcelona (Port de Barcelona),MINISTERIO DE FOMENTO,"TÉCNICAS Y PROYECTOS, S.A. (TYPSA).",,Servicio de redacción del proyecto: Nuevo acceso ferroviario haz de vías de expedición/recepción Nou Llobregat. Clave de expediente: OB-PP-P-00101/2013. RSC: 182/13.,Negociado sin publicidad,2014-03-20 00:00:00,,195000.0,177870.0,71310000 (Servicios de consultoría en ingeniería y construcción).,['71000000' '71310000'],boe_sample.csv
14013DIRECCIONGENERALDELINSTITUTOGEOGRAFICONACIONAL20140321,boe,BOE-B-2014-10192,boe_2014_2024,Dirección General del Instituto Geográfico Nacional.,MINISTERIO DE FOMENTO,No disponible,,Servicio para vuelo fotogramétrico para la producción de ortofotos incluidas en el Plan Nacional de ortofotografía aérea en el ámbito de Galicia Oeste.,Abierto,2014-03-21 00:00:00,,187054.0,,71354000 (Servicios de cartografía).,['71000000' '71354000'],boe_sample.csv
14009DIRECCIONGENERALDELINSTITUTOGEOGRAFICONACIONAL20140321,boe,BOE-B-2014-10193,boe_2014_2024,Dirección General del Instituto Geográfico Nacional.,MINISTERIO DE FOMENTO,No disponible,,Servicio para vuelo fotogramétrico para la producción de ortofotos incluidas en el Plan Nacional de Ortofotografía Áerea en el ámbito de Castilla León NE y SW.,Abierto,2014-03-21 00:00:00,,261952.0,,71350000 (Servicios científicos y técnicos relacionados con la ingeniería) y 71354000 (Servicios de cartografía).,['71000000' '71350000' '71354000'],boe_sample.csv
14024DIRECCIONGENERALDELINSTITUTOGEOGRAFICONACIONAL20140321,boe,BOE-B-2014-10194,boe_2014_2024,Dirección General del Instituto Geográfico Nacional.,MINISTERIO DE FOMENTO,No disponible,,Vuelo fotogramétrico para la producción de ortofotos incluidas en el Plan Nacional de Ortofotografía Aérea en el ámbito de Galicia este.,Abierto,2014-03-21 00:00:00,,187600.0,,71354000 (Servicios de cartografía).,['71000000' '71354000'],boe_sample.csv
14007DIRECCIONGENERALDELINSTITUTOGEOGRAFICONACIONAL20140322,boe,BOE-B-2014-10345,boe_2014_2024,Dirección General del Instituto Geográfico Nacional.,MINISTERIO DE FOMENTO,No disponible,,Servicio para vuelo fotogramétrico para la producción de Ortofotos incluidas en el Plan Nacional de Ortofotografía aérea en el ámbito de Madrid y Alicante.,Abierto,2014-03-22 00:00:00,,194265.04,,71354000 (Servicios de cartografía).,['71000000' '71354000'],boe_sample.csv
